frame    mol0
    0   0.921
    1   1.032
    2   1.088
    3   0.986
    4   0.906
    5   1.189
    6   1.036
    7   0.879
    8   1.089
    9   1.052
   10   0.800
   11   0.871
   12   0.725
   13   0.930
   14   0.923
   15   0.949
   16   1.086
   17   1.052
   18   0.982
   19   0.769
   20   0.876
   21   0.981
   22   0.841
   23   1.160
   24   0.857
   25   1.041
   26   1.099
   27   1.054
   28   0.833
   29   1.056
   30   0.984
   31   1.008
   32   0.874
   33   0.926
   34   1.010
   35   0.849
   36   0.898
   37   0.951
   38   0.920
   39   0.968
   40   1.049
   41   0.898
   42   1.104
   43   1.117
   44   1.112
   45   0.846
   46   0.878
   47   0.909
   48   0.964
   49   0.928
   50   0.979
   51   0.803
   52   0.842
   53   0.907
   54   0.841
   55   0.913
   56   0.997
   57   0.753
   58   1.104
   59   0.908
   60   0.796
   61   0.966
   62   1.160
   63   0.731
   64   1.008
   65   0.810
   66   0.936
   67   0.954
   68   0.763
   69   0.716
   70   0.732
   71   0.779
   72   0.911
   73   0.968
   74   1.263
   75   1.312
   76   1.310
   77   1.151
   78   1.072
   79   1.346
   80   1.186
   81   0.996
   82   0.855
   83   0.999
   84   1.185
   85   0.986
   86   1.027
   87   0.917
   88   0.819
   89   1.165
   90   1.254
   91   1.312
   92   1.238
   93   1.240
   94   1.313
   95   1.280
   96   1.572
   97   1.531
   98   1.317
   99   1.223

